Time,I_dir,I_dif,m_dot,T_amb,T_in,T_out
0,751.28,117.78,0.89,28.77
1,751.28,117.78,0.89,28.77,61.39,61.17
2,751.28,117.79,0.89,28.77,61.40,61.16
3,751.28,117.79,0.89,28.77,61.40,61.16
4,751.29,117.79,0.89,28.77,61.40,61.17
5,751.28,117.80,0.89,28.77,61.41,61.19
6,751.27,117.80,0.89,28.78,61.41,61.18
7,751.26,117.80,0.89,28.78,61.42,61.18
8,751.25,117.81,0.89,28.79,61.42,61.19
9,751.25,117.81,0.89,28.79,61.42,61.19
10,751.25,117.81,0.89,28.80,61.42,61.20
11,751.24,117.81,0.89,28.82,61.43,61.21
12,751.23,117.82,0.89,28.82,61.43,61.22
13,751.22,117.82,0.89,28.83,61.43,61.21
14,751.21,117.82,0.89,28.83,61.44,61.22
15,751.20,117.83,0.89,28.83,61.44,61.23
16,751.20,117.83,0.89,28.83,61.44,61.23
17,751.19,117.83,0.89,28.83,61.44,61.24
18,751.19,117.84,0.89,28.85,61.45,61.25
19,751.19,117.84,0.89,28.85,61.46,61.24
20,751.20,117.84,0.89,28.87,61.46,61.26
21,751.21,117.84,0.89,28.87,61.47,61.26
22,751.22,117.85,0.89,28.88,61.47,61.27
23,751.23,117.85,0.89,28.88,61.47,61.27
24,751.24,117.85,0.89,28.89,61.47,61.27
25,751.25,117.86,0.89,28.89,61.47,61.27
26,751.25,117.86,0.89,28.89,61.48,61.27
27,751.26,117.86,0.89,28.88,61.49,61.28
28,751.26,117.86,0.89,28.88,61.49,61.29
29,751.26,117.87,0.89,28.88,61.49,61.28
30,751.26,117.87,0.89,28.88,61.50,61.28
31,751.27,117.87,0.89,28.88,61.50,61.30
32,751.29,117.87,0.89,28.86,61.50,61.30
33,751.30,117.88,0.89,28.86,61.51,61.29
34,751.33,117.88,0.89,28.86,61.51,61.30
35,751.35,117.88,0.89,28.86,61.52,61.30
36,751.37,117.88,0.89,28.86,61.51,61.30
37,751.39,117.89,0.89,28.86,61.52,61.31
38,751.42,117.89,0.89,28.85,61.53,61.30
39,751.44,117.89,0.89,28.85,61.53,61.30
40,751.46,117.90,0.89,28.85,61.53,61.30
41,751.48,117.90,0.89,28.84,61.53,61.32
42,751.50,117.90,0.89,28.84,61.53,61.33
43,751.53,117.90,0.89,28.83,61.54,61.34
44,751.55,117.91,0.89,28.82,61.54,61.33
45,751.57,117.91,0.89,28.80,61.54,61.33
46,751.59,117.91,0.89,28.80,61.54,61.33
47,751.60,117.91,0.89,28.79,61.55,61.33
48,751.62,117.92,0.89,28.79,61.54,61.34
49,751.64,117.92,0.89,28.79,61.53,61.35
50,751.66,117.92,0.89,28.79,61.51,61.37
51,751.68,117.92,0.89,28.78,61.48,61.37
52,751.69,117.93,0.89,28.79,61.45,61.40
53,751.70,117.93,0.89,28.79,61.41,61.42
54,751.72,117.93,0.89,28.78,61.36,61.44
55,751.73,117.93,0.89,28.77,61.36,61.44
56,751.74,117.94,0.89,28.77,61.31,61.47
57,751.75,117.94,0.89,28.77,61.25,61.49
58,751.77,117.94,0.89,28.76,61.19,61.51
59,751.78,117.94,0.89,28.77,61.15,61.54
60,751.79,117.95,0.89,28.75,61.09,61.56
61,751.80,117.95,0.89,28.75,61.05,61.59
62,751.81,117.95,0.89,28.74,60.99,61.62
63,751.82,117.95,0.89,28.74,60.99,61.62
64,751.82,117.96,0.89,28.74,60.95,61.64
65,751.83,117.96,0.89,28.74,60.91,61.66
66,751.84,117.96,0.89,28.73,60.86,61.68
67,751.85,117.96,0.89,28.73,60.83,61.69
68,751.86,117.97,0.89,28.72,60.80,61.72
69,751.88,117.97,0.89,28.72,60.78,61.74
70,751.89,117.97,0.89,28.71,60.78,61.77
71,751.90,117.97,0.89,28.71,60.75,61.77
72,751.90,117.98,0.89,28.71,60.71,61.78
73,751.91,117.98,0.89,28.70,60.69,61.80
74,751.91,117.98,0.89,28.69,60.67,61.80
75,751.92,117.98,0.89,28.68,60.66,61.84
76,751.92,117.99,0.89,28.67,60.64,61.85
77,751.93,117.99,0.89,28.67,60.62,61.86
78,751.93,117.99,0.89,28.66,60.62,61.88
79,751.93,117.99,0.89,28.66,60.62,61.88
80,751.95,118.00,0.89,28.65,60.61,61.90
81,751.96,118.00,0.89,28.62,60.60,61.91
82,751.97,118.00,0.89,28.61,60.60,61.92
83,751.98,118.00,0.89,28.60,60.60,61.93
84,751.98,118.01,0.89,28.59,60.58,61.97
85,752.00,118.01,0.89,28.56,60.59,61.96
86,752.01,118.01,0.89,28.55,60.59,61.96
87,752.02,118.01,0.89,28.55,60.59,61.99
88,752.04,118.02,0.89,28.55,60.59,61.99
89,752.05,118.02,0.89,28.55,60.60,62.02
90,752.06,118.02,0.89,28.55,60.60,62.04
91,752.08,118.02,0.89,28.55,60.60,62.06
92,752.09,118.03,0.89,28.56,60.62,62.08
93,752.11,118.03,0.89,28.56,60.62,62.07
94,752.12,118.03,0.89,28.55,60.63,62.07
95,752.13,118.03,0.89,28.55,60.64,62.09
96,752.15,118.04,0.89,28.54,60.66,62.10
97,752.16,118.04,0.89,28.53,60.67,62.12
98,752.17,118.04,0.89,28.51,60.68,62.12
99,752.19,118.04,0.89,28.49,60.69,62.14
100,752.21,118.05,0.89,28.48,60.72,62.14
101,752.23,118.05,0.89,28.47,60.72,62.17
102,752.25,118.05,0.89,28.47,60.73,62.17
103,752.27,118.05,0.89,28.46,60.75,62.16
104,752.30,118.05,0.89,28.48,60.77,62.18
105,752.32,118.06,0.89,28.50,60.79,62.19
106,752.34,118.06,0.89,28.52,60.81,62.21
107,752.36,118.06,0.89,28.54,60.84,62.22
108,752.38,118.06,0.89,28.54,60.86,62.24
109,752.41,118.06,0.89,28.56,60.86,62.24
110,752.43,118.07,0.89,28.56,60.88,62.25
111,752.45,118.07,0.89,28.57,60.90,62.27
112,752.47,118.07,0.89,28.59,60.92,62.28
113,752.49,118.07,0.89,28.62,60.95,62.28
114,752.49,118.08,0.89,28.63,60.97,62.30
115,752.49,118.08,0.89,28.64,61.00,62.29
116,752.49,118.08,0.89,28.65,61.02,62.30
117,752.48,118.08,0.89,28.65,61.02,62.30
118,752.47,118.09,0.89,28.67,61.05,62.31
119,752.47,118.09,0.89,28.67,61.07,62.32
120,752.46,118.09,0.89,28.68,61.10,62.32
121,752.46,118.09,0.89,28.69,61.12,62.33
122,752.46,118.09,0.89,28.70,61.14,62.33
123,752.46,118.10,0.89,28.69,61.16,62.34
124,752.46,118.10,0.89,28.69,61.17,62.34
125,752.46,118.10,0.89,28.71,61.17,62.34
126,752.47,118.10,0.89,28.71,61.17,62.35
127,752.47,118.11,0.89,28.71,61.16,62.37
128,752.48,118.11,0.89,28.71,61.13,62.37
129,752.49,118.11,1.21,28.72,61.10,62.40
130,752.50,118.11,13.73,28.74,61.05,62.43
131,752.51,118.12,15.81,28.74,60.99,62.46
132,752.52,118.12,17.39,28.74,60.91,62.49
133,752.53,118.12,18.30,28.74,60.91,62.49
134,752.54,118.12,18.87,28.74,60.81,62.51
135,752.55,118.13,18.87,28.75,60.68,62.53
136,752.56,118.13,19.52,28.75,60.54,62.53
137,752.56,118.13,19.93,28.74,60.35,62.53
138,752.56,118.13,20.37,28.73,60.17,62.52
139,752.56,118.14,20.80,28.73,59.96,62.48
140,752.56,118.14,21.30,28.73,59.96,62.45
141,752.56,118.14,21.78,28.73,59.76,62.45
142,752.56,118.15,21.69,28.73,59.51,62.37
143,752.56,118.15,21.59,28.73,59.28,62.30
144,752.56,118.15,21.59,28.74,59.04,62.19
145,752.55,118.15,21.72,28.76,58.78,62.06
146,752.54,118.16,21.87,28.76,58.53,61.91
147,752.53,118.16,22.25,28.77,58.25,61.73
148,752.51,118.16,22.67,28.79,58.25,61.73
149,752.50,118.17,22.89,28.79,57.96,61.55
150,752.49,118.17,23.02,28.79,57.69,61.33
151,752.48,118.17,23.02,28.79,57.40,61.08
152,752.48,118.17,23.17,28.80,57.12,60.83
153,752.48,118.18,23.49,28.81,56.84,60.58
154,752.48,118.18,23.80,28.82,56.54,60.32
155,752.48,118.18,24.15,28.83,56.24,60.04
156,752.48,118.19,24.80,28.84,56.24,60.04
157,752.49,118.19,25.58,28.84,55.93,59.74
158,752.49,118.19,26.55,28.85,55.61,59.43
159,752.50,118.19,26.55,28.85,55.29,59.13
160,752.51,118.20,27.82,28.86,54.94,58.81
161,752.51,118.20,28.75,28.87,54.63,58.49
162,752.52,118.20,29.42,28.88,54.30,58.17
163,752.53,118.21,30.29,28.88,54.30,57.85
164,752.54,118.21,32.14,28.88,53.98,57.85
165,752.55,118.21,34.31,28.88,53.65,57.52
166,752.55,118.21,36.98,28.89,53.33,57.20
167,752.56,118.22,39.83,28.90,53.02,56.87
168,752.56,118.22,39.83,28.90,52.70,56.55
169,752.57,118.22,42.63,28.91,52.38,56.22
170,752.58,118.23,45.00,28.90,52.07,55.88
171,752.59,118.23,46.34,28.90,52.07,55.88
172,752.59,118.23,46.32,28.90,51.74,55.53
173,752.59,118.24,45.80,28.90,51.43,55.22
174,752.60,118.24,45.11,28.89,51.12,54.91
175,752.61,118.24,45.11,28.89,50.82,54.57
176,752.61,118.24,43.04,28.89,50.52,54.26
177,752.61,118.25,43.04,28.89,50.22,53.94
178,752.61,118.25,42.30,28.89,49.92,53.63
179,752.61,118.25,41.54,28.89,49.92,53.63
180,752.62,118.26,40.93,28.89,49.62,53.32
181,752.62,118.26,40.93,28.88,49.32,53.00
182,752.62,118.26,41.22,28.87,49.02,52.69
183,752.62,118.27,41.22,28.88,48.69,52.35
184,752.63,118.27,41.85,28.87,48.40,52.02
185,752.63,118.27,42.39,28.87,48.08,51.71
186,752.64,118.28,42.63,28.86,47.78,51.40
187,752.65,118.28,42.33,28.84,47.78,51.40
188,752.66,118.28,41.48,28.84,47.49,51.07
189,752.66,118.28,40.48,28.84,47.18,50.75
190,752.66,118.29,40.48,28.83,46.88,50.44
191,752.67,118.29,39.26,28.82,46.58,50.13
192,752.67,118.29,37.79,28.82,46.28,49.81
193,752.68,118.30,36.14,28.82,45.98,49.48
194,752.67,118.30,33.91,28.82,45.67,49.16
195,752.66,118.30,32.73,28.79,45.67,49.16
196,752.65,118.30,31.95,28.79,45.36,48.83
197,752.64,118.31,31.56,28.78,45.05,48.52
198,752.64,118.31,31.56,28.77,44.76,48.21
199,752.63,118.31,31.41,28.76,44.46,47.91
200,752.63,118.32,31.36,28.75,44.15,47.58
201,752.63,118.32,31.40,28.75,43.86,47.28
202,752.63,118.32,31.53,28.74,43.57,46.98
203,752.63,118.33,31.75,28.73,43.57,46.98
204,752.63,118.33,32.12,28.73,43.28,46.66
205,752.63,118.33,32.12,28.73,42.98,46.36
206,752.62,118.33,33.25,28.73,42.68,46.03
207,752.61,118.34,33.25,28.73,42.39,45.75
208,752.60,118.34,33.60,28.73,42.10,45.47
209,752.59,118.34,33.81,28.73,41.82,45.16
210,752.57,118.34,33.78,28.74,41.82,44.88
211,752.56,118.35,33.46,28.74,41.54,44.88
212,752.55,118.35,33.12,28.74,41.27,44.60
213,752.55,118.35,32.73,28.72,41.00,44.33
214,752.56,118.36,32.73,28.73,40.72,44.04
215,752.55,118.36,32.42,28.72,40.47,43.77
216,752.55,118.36,32.31,28.72,40.21,43.50
217,752.55,118.36,32.29,28.71,39.94,43.22
218,752.55,118.37,32.34,28.71,39.94,43.22
219,752.55,118.37,32.38,28.71,39.69,42.95
220,752.55,118.37,32.36,28.71,39.45,42.69
221,752.56,118.37,32.36,28.71,39.21,42.42
222,752.56,118.38,32.25,28.72,38.98,42.18
223,752.56,118.38,32.25,28.72,38.75,41.92
224,752.57,118.38,32.23,28.73,38.52,41.67
225,752.57,118.38,32.20,28.73,38.30,41.42
226,752.57,118.39,32.16,28.72,38.30,41.42
227,752.57,118.39,32.14,28.72,38.08,41.19
228,752.58,118.39,32.14,28.73,37.87,40.94
229,752.58,118.39,32.12,28.73,37.65,40.70
230,752.59,118.40,32.12,28.74,37.44,40.46
231,752.59,118.40,32.16,28.74,37.25,40.25
232,752.58,118.40,32.20,28.74,37.05,40.03
233,752.58,118.40,32.27,28.75,37.05,39.80
234,752.57,118.41,32.36,28.75,36.86,39.80
235,752.57,118.41,32.40,28.75,36.68,39.60
236,752.57,118.41,32.44,28.77,36.50,39.38
237,752.56,118.41,32.44,28.77,36.33,39.17
